term_id,K,Q,J,Jʹ,term_upper_id,transition_id,Ku,Qu,Ju,Jʹu,coefficient,index1,index0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,-3.0,2.0,2.0,0.0,83,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,-2.0,2.0,2.0,0.0,84,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,-1.0,2.0,2.0,0.0,85,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,0.0,2.0,2.0,0.0,86,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,1.0,2.0,2.0,0.0,87,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,2.0,2.0,2.0,0.0,88,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,3.0,3.0,2.0,2.0,0.0,89,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,4.0,-4.0,2.0,2.0,0.0,90,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,4.0,-3.0,2.0,2.0,0.0,91,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,4.0,-2.0,2.0,2.0,0.0,92,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,4.0,-1.0,2.0,2.0,0.0,93,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,4.0,0.0,2.0,2.0,0.0,94,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,4.0,1.0,2.0,2.0,0.0,95,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,4.0,2.0,2.0,2.0,0.0,96,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,4.0,3.0,2.0,2.0,0.0,97,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,4.0,4.0,2.0,2.0,0.0,98,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,0.0,-0.0,0.0,0.0,16416377.554137819,99,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,0.0,1.0,0.0,100,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,0.0,1.0,0.0,101,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,0.0,1.0,0.0,102,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-2.0,0.0,2.0,0.0,103,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,-1.0,0.0,2.0,0.0,104,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,0.0,0.0,2.0,0.0,105,0
2s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,3p3_L=1.0_S=1.0,3p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,2.0,1.0,0.0,2.0,0.0,106,0
