term_id,L,S,term_upper_id,Lu,J,Jʹ,K,Q,Ju,Jʹu,Ku,Qu,coefficient
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-2.0,1.0,2.0,2.0,-2.0,19720256.171566892
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-2.0,1.0,3.0,2.0,-2.0,93333287.08332188
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-2.0,2.0,1.0,2.0,-2.0,11832153.702940136
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-2.0,2.0,2.0,2.0,-2.0,-69999965.3124914
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-2.0,2.0,3.0,2.0,-2.0,177087461.21620244
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-1.0,1.0,1.0,2.0,-1.0,-15275244.747084523
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-1.0,1.0,2.0,2.0,-1.0,19720256.171566892
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-1.0,1.0,3.0,2.0,-1.0,93333287.08332188
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-1.0,2.0,1.0,2.0,-1.0,11832153.702940136
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-1.0,2.0,2.0,2.0,-1.0,-69999965.3124914
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-1.0,2.0,3.0,2.0,-1.0,177087461.21620244
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-0.0,1.0,1.0,2.0,-0.0,-15275244.747084523
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-0.0,1.0,2.0,2.0,-0.0,19720256.171566892
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-0.0,1.0,3.0,2.0,-0.0,93333287.08332188
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-0.0,2.0,1.0,2.0,-0.0,11832153.702940136
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-0.0,2.0,2.0,2.0,-0.0,-69999965.3124914
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,-0.0,2.0,3.0,2.0,-0.0,177087461.21620244
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,-15275244.747084523
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,19720256.171566892
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,93333287.08332188
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,11832153.702940136
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,-69999965.3124914
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,177087461.21620244
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,-15275244.747084523
2p3_L=1.0_S=1.0,1,1,3d3_L=2.0_S=1.0,2,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,19720256.171566892
