term_id,K,Q,J,Jʹ,term_lower_id,transition_id,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,Kr,Qr,r_s_1,index1,index0
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,0.0,1.0,1.0,1.0,-30038083939.233795,21,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,0.0,1.0,2.0,1.0,30038083939.233795,21,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,27,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,0.0,2.0,-1.0,0.0,27,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,28,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,28,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,29,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,29,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,34684991696.514404,31,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,1.0,2.0,-1.0,0.0,31,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,32,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,32,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,32,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,1.0,1.0,-34684991696.514404,33,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,33,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,2.0,1.0,-1.0,0.0,39,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,-1.0,1.0,2.0,2.0,-1.0,0.0,39,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,40,20
2p3_L=1.0_S=1.0,1.0,0.0,0.0,1.0,2s3_L=0.0_S=1.0,2p3_L=1.0_S=1.0->2s3_L=0.0_S=1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,40,20
