term_id,L,S,J,Jʹ,K,Q,Jʹʹ,Jʹʹʹ,Kʹ,Qʹ,coefficient
2p3_L=1.0_S=1.0,1,1,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-2.0,0.0,2.0,2.0,-2.0,-3.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-2.0,1.0,1.0,2.0,-2.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-2.0,1.0,2.0,2.0,-2.0,-0.6666666666666665
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-2.0,1.0,2.0,3.0,-2.0,-0.47140452079103173
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-2.0,2.0,0.0,2.0,-2.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-2.0,2.0,1.0,2.0,-2.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-2.0,2.0,1.0,3.0,-2.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-2.0,2.0,2.0,2.0,-2.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-2.0,2.0,2.0,3.0,-2.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,0.0,1.0,1.0,-1.0,-0.5
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,0.0,2.0,2.0,-1.0,-1.5000000000000002
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,1.0,0.0,1.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,1.0,1.0,1.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,1.0,1.0,2.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,1.0,2.0,1.0,-1.0,0.44721359549995787
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,1.0,2.0,2.0,-1.0,-0.33333333333333326
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,1.0,2.0,3.0,-1.0,-0.5962847939999439
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,2.0,0.0,2.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,2.0,1.0,1.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,2.0,1.0,2.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,2.0,1.0,3.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,2.0,2.0,1.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,2.0,2.0,2.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,-1.0,2.0,2.0,3.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,-0.5773502691896256
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.5163977794943221
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,-0.632455532033676
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,2.0,1.0,3.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,-0.5
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.5000000000000002
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.44721359549995787
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.33333333333333326
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,-0.5962847939999439
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.6666666666666665
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,-0.47140452079103173
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.0
2p3_L=1.0_S=1.0,1,1,0.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,0.0,1.0,1.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,0.0,2.0,2.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.4999999999999998
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.5773502691896256
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,1.0,1.0,2.0,-1.0,-0.5773502691896257
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,1.0,2.0,1.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,1.0,2.0,2.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,2.0,0.0,2.0,-1.0,-0.5
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,2.0,1.0,1.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,2.0,1.0,2.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,2.0,2.0,1.0,-1.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,-1.0,2.0,2.0,2.0,-1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.8164965809277258
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.0,0.47140452079103157
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,-0.6666666666666665
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,-0.5773502691896256
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,2.0,2.0,0.0,-0.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0
2p3_L=1.0_S=1.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.4999999999999998
