term_id,L,S,J,Jʹ,K,Q,coefficient
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,-3.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,-2.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,-1.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,-0.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,1.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,2.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,2.0,3.0,3.0,1325082664.4772654
3d3_L=2.0_S=1.0,2,1,1.0,3.0,2.0,-2.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,2.0,-1.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,2.0,-0.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,2.0,1.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,2.0,2.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,-3.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,-2.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,-1.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,-0.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,1.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,2.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,3.0,3.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,-4.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,-3.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,-2.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,-1.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,-0.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,1.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,2.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,3.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,1.0,3.0,4.0,4.0,1403028703.7694602
3d3_L=2.0_S=1.0,2,1,2.0,1.0,1.0,-1.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,1.0,-0.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,1.0,1.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,2.0,-2.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,2.0,-1.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,2.0,-0.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,2.0,1.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,2.0,2.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,-3.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,-2.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,-1.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,-0.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,1.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,2.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,1.0,3.0,3.0,-1325082664.4772654
3d3_L=2.0_S=1.0,2,1,2.0,2.0,0.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,1.0,-1.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,1.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,1.0,1.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,2.0,-2.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,2.0,-1.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,2.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,2.0,1.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,2.0,2.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,-3.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,-2.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,-1.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,1.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,2.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,3.0,3.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,-4.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,-3.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,-2.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,-1.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,1.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,2.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,3.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,2.0,4.0,4.0,0.0
3d3_L=2.0_S=1.0,2,1,2.0,3.0,1.0,-1.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,1.0,-0.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,1.0,1.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,2.0,-2.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,2.0,-1.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,2.0,-0.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,2.0,1.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,2.0,2.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,-3.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,-2.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,-1.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,-0.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,1.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,2.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,3.0,3.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,-4.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,-3.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,-2.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,-1.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,-0.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,1.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,2.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,3.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,4.0,4.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,-5.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,-4.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,-3.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,-2.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,-1.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,-0.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,1.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,2.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,3.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,4.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,2.0,3.0,5.0,5.0,77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,1.0,2.0,-2.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,2.0,-1.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,2.0,-0.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,2.0,1.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,2.0,2.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,3.0,-3.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,3.0,-2.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,3.0,-1.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,3.0,-0.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,3.0,1.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,3.0,2.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,3.0,3.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,4.0,-4.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,4.0,-3.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,4.0,-2.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,4.0,-1.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,4.0,-0.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,4.0,1.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,4.0,2.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,4.0,3.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,1.0,4.0,4.0,-1403028703.7694602
3d3_L=2.0_S=1.0,2,1,3.0,2.0,1.0,-1.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,1.0,-0.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,1.0,1.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,2.0,-2.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,2.0,-1.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,2.0,-0.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,2.0,1.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,2.0,2.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,3.0,-3.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,3.0,-2.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,3.0,-1.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,3.0,-0.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,3.0,1.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,3.0,2.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,3.0,3.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,-4.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,-3.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,-2.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,-1.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,-0.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,1.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,2.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,3.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,4.0,4.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,-5.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,-4.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,-3.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,-2.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,-1.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,-0.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,1.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,2.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,3.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,4.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,2.0,5.0,5.0,-77946039.29219465
3d3_L=2.0_S=1.0,2,1,3.0,3.0,0.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,1.0,-1.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,1.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,1.0,1.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,2.0,-2.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,2.0,-1.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,2.0,-0.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,2.0,1.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,2.0,2.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,-3.0,0.0
3d3_L=2.0_S=1.0,2,1,3.0,3.0,3.0,-2.0,0.0
