term_id,K,Q,J,Jʹ,term_upper_id,transition_id,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,Kr,Qr,r_a_1,index1,index0
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,27,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,2.0,0.0,0.0,27,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,27,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,27,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,0.0,2.0,0.0,0.0,27,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,28,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,28,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,28,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,28,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,29,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,29,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,31,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,1.0,0.0,2904510145.0664682,31,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,2.0,0.0,0.0,31,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,31,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,1.0,0.0,-31867388534.34668,31,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,2.0,0.0,0.0,31,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,2904510145.0664682,32,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,32,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,1.0,1.0,-31867388534.34668,32,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,32,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,33,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3d3_L=2.0_S=1.0,3d3_L=2.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,33,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,2.0,0.0,0.0,0.0,39,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,2.0,1.0,0.0,0.0,39,19
2p3_L=1.0_S=1.0,1.0,-1.0,0.0,1.0,3s3_L=0.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,2.0,2.0,0.0,0.0,39,19
