term_id,K,Q,J,Jʹ,term_lower_id,transition_id,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,r_e_0,index1,index0
3s3_L=0.0_S=1.0,2.0,-1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,2.0,1.0,1.0,0.0,17,14
3s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,-0.0,1.0,1.0,0.0,9,15
3s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,0.0,10,15
3s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,0.0,11,15
3s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,0.0,12,15
3s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-2.0,1.0,1.0,0.0,13,15
3s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-1.0,1.0,1.0,0.0,14,15
3s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,0.0,1.0,1.0,27739000.0,15,15
3s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,1.0,1.0,1.0,0.0,16,15
3s3_L=0.0_S=1.0,2.0,0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,2.0,1.0,1.0,0.0,17,15
3s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,-0.0,1.0,1.0,0.0,9,16
3s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,1.0,1.0,0.0,10,16
3s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,1.0,1.0,0.0,11,16
3s3_L=0.0_S=1.0,2.0,1.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,1.0,1.0,0.0,12,16
