term_id,K,Q,J,Jʹ,Kʹ,Qʹ,Jʹʹ,Jʹʹʹ,n_0,n_1,index1,index0
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,1.0,-1.0,1.0,0.0,0.0,0.0,27,23
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,1.0,-1.0,1.0,1.0,0.0,0.0,31,23
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,2.0,-1.0,1.0,1.0,0.0,0.0,35,23
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,1.0,-1.0,1.0,2.0,0.0,0.44721359549995787,39,23
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,2.0,-1.0,1.0,2.0,0.0,-0.33333333333333326,43,23
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,3.0,-1.0,1.0,2.0,0.0,-0.5962847939999439,49,23
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,2.0,-1.0,2.0,0.0,0.0,0.0,55,23
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,1.0,-1.0,2.0,1.0,0.0,0.0,59,23
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,2.0,-1.0,2.0,1.0,0.0,0.0,63,23
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,3.0,-1.0,2.0,1.0,0.0,-0.0,69,23
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,1.0,-1.0,2.0,2.0,0.0,0.0,75,23
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,2.0,-1.0,2.0,2.0,0.0,0.0,79,23
2p3_L=1.0_S=1.0,2.0,-1.0,0.0,2.0,3.0,-1.0,2.0,2.0,0.0,-0.0,85,23
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,-0.5773502691896256,20,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,31909909229.60795,-0.0,24,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,28,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,32,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,36,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.5163977794943221,40,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,-0.0,44,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,-0.632455532033676,50,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,56,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,60,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,64,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,-0.0,70,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,76,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,80,24
2p3_L=1.0_S=1.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,-0.0,86,24
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,-0.5,21,25
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,31909909229.60795,1.5000000000000002,25,25
2p3_L=1.0_S=1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,29,25
