term_id,K,Q,J,Jʹ,term_lower_id,transition_id,Kl,Ql,Jl,Jʹl,Kr,Qr,t_a_1,index1,index0
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,2.0,2.0,0.0,2.0,2.0,4743045205.43333,58,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,1.0,1.0,-1.0,5302885749.851688,59,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,2.0,1.0,1.0,0.0,5302885749.851688,60,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,1.0,1.0,1.0,5302885749.851688,61,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-2.0,2.0,1.0,2.0,-2.0,7114567808.149998,62,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-1.0,2.0,1.0,2.0,-1.0,7114567808.149998,63,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,0.0,2.0,1.0,2.0,0.0,7114567808.149998,64,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,1.0,2.0,1.0,2.0,1.0,7114567808.149998,65,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,2.0,2.0,1.0,2.0,2.0,7114567808.149998,66,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,0.0,-0.0,2.0,2.0,0.0,0.0,10605771499.70338,74,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,-1.0,2.0,2.0,1.0,-1.0,9184867545.476112,75,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,0.0,2.0,2.0,1.0,0.0,9184867545.476112,76,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,2.0,2.0,1.0,1.0,9184867545.476112,77,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-2.0,2.0,2.0,2.0,-2.0,6274459035.356926,78,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,-1.0,2.0,2.0,2.0,-1.0,6274459035.356926,79,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,0.0,2.0,2.0,2.0,0.0,6274459035.356926,80,9
3s3_L=0.0_S=1.0,0.0,-0.0,1.0,1.0,2p3_L=1.0_S=1.0,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,2.0,1.0,2.0,2.0,2.0,1.0,6274459035.356926,81,9
