wavelength_A,I,Q,U,V
5.875160133444536768e+03,7.235165780260224277e-01,-7.684122686071469428e-04,4.463428170572945604e-04,2.523514109748764469e-03
5.875161801501250920e+03,7.233962027363399772e-01,-8.011593913702075818e-04,4.651677445976897126e-04,2.632207951626490405e-03
5.875163469557965072e+03,7.232712036210665607e-01,-8.351277970101508722e-04,4.846823607821959534e-04,2.745036132318581183e-03
5.875165137614679224e+03,7.231414334598469384e-01,-8.703538840897405773e-04,5.049064804841533940e-04,2.862127503413545125e-03
5.875166805671392467e+03,7.230067418505048416e-01,-9.068746697802487376e-04,5.258602083922004787e-04,2.983613507982796863e-03
5.875168473728106619e+03,7.228669752151217764e-01,-9.447277754058360259e-04,5.475639278566353171e-04,3.109628159677844863e-03
5.875170141784820771e+03,7.227219768115175080e-01,-9.839514100395011040e-04,5.700382885420470598e-04,3.240308016281273976e-03
5.875171809841534923e+03,7.225715867488787802e-01,-1.024584352479183252e-03,5.933041930762044487e-04,3.375792148809192688e-03
5.875173477898248166e+03,7.224156420089546948e-01,-1.066665931218170561e-03,6.173827824743205591e-04,3.516222104891447361e-03
5.875175145954962318e+03,7.222539764720788957e-01,-1.110236002597612352e-03,6.422954204483295564e-04,3.661741867054237043e-03
5.875176814011676470e+03,7.220864209496030695e-01,-1.155334926707817086e-03,6.680636763568036703e-04,3.812497804462399234e-03
5.875178482068390622e+03,7.219128032212659418e-01,-1.202003541439394720e-03,6.947093070084006412e-04,3.968638619435180259e-03
5.875180150125103864e+03,7.217329480790831697e-01,-1.250283134229013141e-03,7.222542371063967728e-04,4.130315287271498978e-03
5.875181818181818016e+03,7.215466773768887121e-01,-1.300215411752810631e-03,7.507205384370450266e-04,4.297680990167874679e-03
5.875183486238532168e+03,7.213538100873022607e-01,-1.351842467087183402e-03,7.801304075216253589e-04,4.470891043592473656e-03
5.875185154295246321e+03,7.211541623643775711e-01,-1.405206744781076211e-03,8.105061420418790269e-04,4.650102816667258700e-03
5.875186822351959563e+03,7.209475476137264804e-01,-1.460351003369778989e-03,8.418701157479398667e-04,4.835475644934961008e-03
5.875188490408673715e+03,7.207337765690517983e-01,-1.517318275628984402e-03,8.742447519837084164e-04,5.027170736431776747e-03
5.875190158465387867e+03,7.205126573770926912e-01,-1.576151826013445388e-03,9.076524955737249635e-04,5.225351069261526676e-03
5.875191826522102019e+03,7.202839956889155459e-01,-1.636895105837669548e-03,9.421157833770670877e-04,5.430181282489897863e-03
5.875193494578815262e+03,7.200475947595585957e-01,-1.699591705666279396e-03,9.776570132200158424e-04,5.641827558559062150e-03
5.875195162635529414e+03,7.198032555547424494e-01,-1.764285305282184500e-03,1.014298511360657877e-03,5.860457498330090206e-03
5.875196830692243566e+03,7.195507768668865101e-01,-1.831019620623024462e-03,1.052062498209771491e-03,6.086239986761375967e-03
5.875198498748957718e+03,7.192899554379844629e-01,-1.899838348332324187e-03,1.090971052684833317e-03,6.319345051350694180e-03
5.875200166805670960e+03,7.190205860915894753e-01,-1.970785107369149233e-03,1.131046074845924298e-03,6.559943711373077135e-03
5.875201834862385113e+03,7.187424618723416980e-01,-2.043903378076130425e-03,1.172309247069633267e-03,6.808207819224329146e-03
5.875203502919099265e+03,7.184553741955326256e-01,-2.119236438076389437e-03,1.214781993412176585e-03,7.064309891691170074e-03
5.875205170975813417e+03,7.181591130038453841e-01,-2.196827295761319670e-03,1.258485437596632917e-03,7.328422933654406626e-03
5.875206839032526659e+03,7.178534669337225393e-01,-2.276718620741878963e-03,1.303440359282255099e-03,7.600720252031381921e-03
5.875208507089240811e+03,7.175382234895397726e-01,-2.358952671761678065e-03,1.349667148902160708e-03,7.881375261569454824e-03
5.875210175145954963e+03,7.172131692282903703e-01,-2.443571221387072587e-03,1.397185760696321045e-03,8.170561280079780345e-03
5.875211843202669115e+03,7.168780899514665128e-01,-2.530615478362066486e-03,1.446015664449078154e-03,8.468451316041521182e-03
5.875213511259383267e+03,7.165327709066287021e-01,-2.620126007006661709e-03,1.496175795591674117e-03,8.775217846365812591e-03
5.875215179316096510e+03,7.161769969978409867e-01,-2.712142643899157803e-03,1.547684503818194321e-03,9.091032585032566421e-03
5.875216847372810662e+03,7.158105530039243769e-01,-2.806704412150222080e-03,1.600559500397672396e-03,9.416066243549583992e-03
5.875218515429524814e+03,7.154332238073631833e-01,-2.903849432564420061e-03,1.654817803801850434e-03,9.750488280692347701e-03
5.875220183486238966e+03,7.150447946298943425e-01,-3.003614832756840852e-03,1.710475684260677346e-03,1.009446664507267569e-02
5.875221851542952209e+03,7.146450512777665631e-01,-3.106036653495049694e-03,1.767548606847978198e-03,1.044816750788888672e-02
5.875223519599666361e+03,7.142337803940246310e-01,-3.211149752985660317e-03,1.826051173513593877e-03,1.081175498819536215e-02
5.875225187656380513e+03,7.138107697211181213e-01,-3.318987708307612888e-03,1.885997063642059005e-03,1.118539086780233685e-02
5.875226855713094665e+03,7.133758083692482987e-01,-3.429582715221374343e-03,1.947398973825521448e-03,1.156923429987593080e-02
5.875228523769807907e+03,7.129286870936895060e-01,-3.542965485576541132e-03,2.010268556429802792e-03,1.196344150838127632e-02
5.875230191826522059e+03,7.124691985780411407e-01,-3.659165143140187884e-03,2.074616357464962625e-03,1.236816548110301200e-02
5.875231859883236211e+03,7.119971377269582735e-01,-3.778209117022370781e-03,2.140451753266933883e-03,1.278355565311958993e-02
5.875233527939950363e+03,7.115123019631414136e-01,-3.900123034075981317e-03,2.207782886810787711e-03,1.320975758539209670e-02
5.875235195996663606e+03,7.110144915320880665e-01,-4.024930609444804866e-03,2.276616603210037011e-03,1.364691263537916484e-02
5.875236864053377758e+03,7.105035098111023295e-01,-4.152653536222338307e-03,2.346958384948145526e-03,1.409515762284489944e-02
5.875238532110091910e+03,7.099791636264048966e-01,-4.283311373334553092e-03,2.418812286351938474e-03,1.455462448749348693e-02
5.875240200166806062e+03,7.094412635724293148e-01,-4.416921433184265236e-03,2.492180868241435868e-03,1.502543994370832831e-02
5.875241868223519305e+03,7.088896243371035633e-01,-4.553498668219445496e-03,2.567065132220610214e-03,1.550772512908974408e-02
5.875243536280233457e+03,7.083240650291150464e-01,-4.693055557464130209e-03,2.643464455308977470e-03,1.600159525037660527e-02
5.875245204336947609e+03,7.077444095113402112e-01,-4.835601992109031348e-03,2.721376524333964878e-03,1.650715922316283238e-02
5.875246872393661761e+03,7.071504867337726763e-01,-4.981145161860668288e-03,2.800797271136351487e-03,1.702451931131074639e-02
5.875248540450375003e+03,7.065421310700851221e-01,-5.129689441158399518e-03,2.881720808025116376e-03,1.755377076251753848e-02
5.875250208507089155e+03,7.059191826533225411e-01,-5.281236276425403317e-03,2.964139364242040792e-03,1.809500144407475905e-02
5.875251876563803307e+03,7.052814877152443485e-01,-5.435784073381973169e-03,3.048043222845517927e-03,1.864829147494823439e-02
5.875253544620517459e+03,7.046288989219168242e-01,-5.593328086300489166e-03,3.133420659133259734e-03,1.921371286075635593e-02
5.875255212677230702e+03,7.039612757100438545e-01,-5.753860308245271719e-03,3.220257880035622307e-03,1.979132912782229081e-02
5.875256880733944854e+03,7.032784846190192063e-01,-5.917369363590482823e-03,3.308538965262450456e-03,2.038119496077121437e-02
5.875258548790659006e+03,7.025803996236420490e-01,-6.083840401757497143e-03,3.398245809625797653e-03,2.098335583954438061e-02
5.875260216847373158e+03,7.018669024593032768e-01,-6.253254994243681066e-03,3.489358067691957638e-03,2.159784768301101915e-02
5.875261884904086401e+03,7.011378829445664707e-01,-6.425591033878054470e-03,3.581853100208874478e-03,2.222469649508160630e-02
5.875263552960800553e+03,7.003932392956409014e-01,-6.600822637732016614e-03,3.675705923102490311e-03,2.286391801821946110e-02
5.875265221017514705e+03,6.996328784381062871e-01,-6.778920052529550065e-03,3.770889158444507873e-03,2.351551738985766318e-02
5.875266889074228857e+03,6.988567163069890897e-01,-6.959849564787107430e-03,3.867372988612346497e-03,2.417948880957938862e-02
5.875268557130942099e+03,6.980646781405672741e-01,-7.143573414527431761e-03,3.965125113040366030e-03,2.485581521257966900e-02
5.875270225187656251e+03,6.972566987619339685e-01,-7.330049714081192554e-03,4.064110708398707868e-03,2.554446795470034434e-02
5.875271893244370403e+03,6.964327228542186443e-01,-7.519232370734504553e-03,4.164292391552042519e-03,2.624540650419137852e-02
5.875273561301084555e+03,6.955927052198210836e-01,-7.711071015571116342e-03,4.265630186574742057e-03,2.695857814861225138e-02
5.875275229357797798e+03,6.947366110296067099e-01,-7.905510937255747980e-03,4.368081495169252176e-03,2.768391771201146601e-02
