profile,field_gauss,field_incl_deg,field_azim_deg,los_deg,height_arcsec,optical_depth,n,w,wavelength_A,I,Q,U,V
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875061718098415440e+03,7.261302131032801865e-01,-4.707595631154657258e-05,2.766899138493844029e-05,1.519096877666512057e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875063386155129592e+03,7.261212688770195545e-01,-4.959084630010412434e-05,2.915089305568583980e-05,1.600795106372965358e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875065054211842835e+03,7.261118695211437046e-01,-5.223306473318306033e-05,3.070742596867498815e-05,1.686642729437754743e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875066722268556987e+03,7.261019935787723645e-01,-5.500856423597681494e-05,3.234204920774980287e-05,1.776834748099475302e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875068390325271139e+03,7.260916186850520093e-01,-5.792354502828124264e-05,3.405836375075976303e-05,1.871574366024741150e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875070058381985291e+03,7.260807215346911647e-01,-6.098446342743177578e-05,3.586011721297032633e-05,1.971073278845526203e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875071726438698533e+03,7.260692778486923515e-01,-6.419804053191676904e-05,3.775120867923065910e-05,2.075551970424346969e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875073394495412686e+03,7.260572623402216097e-01,-6.757127110093818752e-05,3.973569363969643308e-05,2.185240016576256938e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875075062552126838e+03,7.260446486797051957e-01,-7.111143260164784030e-05,4.181778900569526784e-05,2.300376395236939232e-04
0.000000000000000000e+00,8.000000000000000000e+03,8.000000000000000000e+01,4.500000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+01,1.000000000000000000e+00,6.815748869369513824e-03,1.762144250996910133e-01,5.875076730608840990e+03,7.260314094590374356e-01,-7.482609445557236976e-05,4.400187822633893606e-05,2.421209804269663576e-04
